year,total,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,
1985,"4,306,970","321,345","328,188","337,700","346,428","385,519","377,291","389,649","375,676","393,308","375,609","346,543","329,714",
1986,"4,324,273","320,603","326,379","340,303","351,056","383,593","389,002","383,706","365,949","393,797","378,407","350,735","340,743",
1987,"4,519,018","326,540","333,118","345,520","367,996","399,813","410,604","408,293","383,623","410,005","402,085","372,499","358,922",
1988,"4,761,071","348,997","363,990","371,246","385,205","417,713","425,727","421,452","393,941","428,517","424,208","393,033","387,042",
1989,"4,947,141","373,254","372,680","398,272","407,411","429,265","437,050","441,143","414,347","444,983","433,028","407,117","388,591",
1990,"5,059,835","374,628","376,103","402,043","406,713","439,525","452,550","457,256","432,308","456,471","450,160","414,900","397,178",
1991,"5,091,836","387,625","387,800","408,501","414,491","448,455","456,224","456,017","424,135","449,636","445,643","415,058","398,251",
1992,"5,131,700","392,327","403,398","413,749","418,349","447,671","454,976","454,334","424,056","464,989","445,079","413,143","399,629",
1993,"5,032,403","390,018","386,308","410,475","419,052","444,073","446,506","440,312","402,963","443,316","436,889","416,863","395,628",
1994,"5,237,372","388,126","386,952","409,583","426,121","453,021","463,854","481,714","455,608","469,827","456,416","433,994","412,156",
1995,"5,143,381","403,643","391,481","414,919","417,613","443,297","441,395","450,436","439,277","456,626","452,612","421,838","410,244",
1996,"5,186,482","399,701","403,967","414,560","422,090","447,863","454,558","464,744","438,117","454,613","447,784","427,121","411,364",
1997,"5,156,663","404,821","394,651","420,431","420,324","453,896","451,738","459,471","422,724","461,306","447,089","420,086","400,126",
1998,"5,046,669","390,799","384,548","410,233","416,641","441,200","438,997","446,480","416,460","446,819","448,286","412,155","394,051",
1999,"4,950,069","385,929","377,309","401,624","397,603","427,595","435,633","420,581","415,400","442,338","444,052","408,506","393,499",
2000,"4,970,310","377,436","382,239","394,245","392,145","416,035","423,263","442,287","425,945","453,113","446,269","416,200","401,133",
2001,"4,941,499","397,471","382,814","406,565","408,538","436,537","436,005","445,852","409,685","424,832","420,978","393,987","378,235",
2002,"5,002,265","381,920","368,949","397,742","403,005","431,638","444,736","441,435","425,461","448,314","445,779","416,461","396,825",
2003,"4,974,103","403,005","383,496","405,887","413,903","438,063","440,801","427,445","404,129","442,839","427,528","405,448","381,559",
2004,"4,954,710","394,446","394,038","405,213","407,423","426,662","436,198","442,554","409,314","434,386","421,244","399,395","383,837",
2005,"4,775,335","384,607","367,964","388,420","390,552","416,092","419,362","416,309","395,475","423,683","416,267","386,101","370,503",
2006,"4,648,191","373,509","355,944","374,880","380,348","399,721","404,640","404,809","389,569","414,765","405,953","382,542","361,511",
2007,"4,520,740","361,723","347,660","366,981","364,202","392,454","392,981","388,413","379,853","403,716","397,894","371,838","353,025",
2008,"4,442,561","354,300","348,547","360,987","362,929","383,586","384,381","388,732","372,078","394,583","382,699","362,824","346,915",
2009,"4,264,106","351,380","336,246","348,417","353,027","370,608","373,384","370,133","347,134","372,722","366,820","345,056","329,179",
2010,"4,149,598","334,176","319,016","337,308","333,985","358,856","365,136","362,360","344,295","372,057","359,658","338,427","324,324",
2011,"4,058,062","323,348","312,789","314,526","335,651","358,451","351,795","357,804","338,599","359,299","351,958","336,805","317,037",
2012,"4,043,870","325,277","323,252","326,970","327,842","350,642","351,264","348,063","332,308","361,043","356,569","328,733","311,907",
2013,"3,974,526","320,546","301,201","320,574","324,209","346,307","346,448","349,569","328,957","353,511","350,359","325,513","307,332",
2014,"3,910,940","313,870","302,630","315,942","318,946","342,114","345,482","336,918","316,585","342,238","345,696","324,519","306,000",
2015,"3,932,861","314,492","298,632","318,543","322,457","347,312","349,033","338,098","322,777","337,971","343,925","328,565","311,056",
2016,"3,991,966","317,381","313,584","321,193","323,343","350,093","350,395","345,246","328,818","349,140","350,372","330,258","312,143",
2017,"3,986,478","321,459","306,000","322,188","327,112","346,983","346,235","346,146","327,538","349,672","347,372","329,697","316,076",
2018,"3,999,805","324,296","303,308","319,277","324,152","351,840","351,414","350,381","333,318","339,380","354,844","332,984","314,611",
2019,"3,999,655","325,861","305,411","321,843","323,425","347,893","349,677","339,492","331,514","349,598","356,019","331,531","317,391",
2020,"4,019,561","325,479","314,118","311,006","314,441","335,101","355,202","359,884","345,174","355,038","352,934","330,346","320,838",
2021,"4,000,979","328,455","307,769","329,096","327,608","349,001","351,762","340,889","329,636","345,291","350,611","324,951","315,910",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
